panel,mechanism,point,x1,x2,signal
a,Null,208,-1.4367622330384782,-1.267731382092775,0.0
a,Null,209,-1.3522468075656264,-1.267731382092775,0.0
a,Null,210,-1.267731382092775,-1.267731382092775,0.0
a,Null,211,-1.1832159566199232,-1.267731382092775,0.0
a,Null,212,-1.0987005311470714,-1.267731382092775,0.0
a,Null,213,-1.01418510567422,-1.267731382092775,0.0
a,Null,214,-0.9296696802013682,-1.267731382092775,0.0
a,Null,215,-0.8451542547285166,-1.267731382092775,0.0
a,Null,216,-0.760638829255665,-1.267731382092775,0.0
a,Null,217,-0.6761234037828132,-1.267731382092775,0.0
a,Null,218,-0.5916079783099616,-1.267731382092775,0.0
a,Null,219,-0.50709255283711,-1.267731382092775,0.0
a,Null,220,-0.4225771273642583,-1.267731382092775,0.0
a,Null,221,-0.3380617018914066,-1.267731382092775,0.0
a,Null,222,-0.253546276418555,-1.267731382092775,0.0
a,Null,223,-0.1690308509457033,-1.267731382092775,0.0
a,Null,224,-0.08451542547285165,-1.267731382092775,0.0
a,Null,225,0.0,-1.267731382092775,0.0
a,Null,226,0.08451542547285165,-1.267731382092775,0.0
a,Null,227,0.1690308509457033,-1.267731382092775,0.0
a,Null,228,0.253546276418555,-1.267731382092775,0.0
a,Null,229,0.3380617018914066,-1.267731382092775,0.0
a,Null,230,0.4225771273642583,-1.267731382092775,0.0
a,Null,231,0.50709255283711,-1.267731382092775,0.0
a,Null,232,0.5916079783099616,-1.267731382092775,0.0
a,Null,233,0.6761234037828132,-1.267731382092775,0.0
a,Null,234,0.760638829255665,-1.267731382092775,0.0
a,Null,235,0.8451542547285166,-1.267731382092775,0.0
a,Null,236,0.9296696802013682,-1.267731382092775,0.0
a,Null,237,1.01418510567422,-1.267731382092775,0.0
a,Null,238,1.0987005311470714,-1.267731382092775,0.0
a,Null,239,1.1832159566199232,-1.267731382092775,0.0
a,Null,240,1.267731382092775,-1.267731382092775,0.0
a,Null,241,1.3522468075656264,-1.267731382092775,0.0
a,Null,242,1.4367622330384782,-1.267731382092775,0.0
a,Null,243,1.52127765851133,-1.267731382092775,0.0
a,Null,244,1.6057930839841814,-1.267731382092775,0.0
a,Null,245,1.6903085094570331,-1.267731382092775,0.0
a,Null,246,-1.6903085094570331,-1.1832159566199232,0.0
a,Null,247,-1.6057930839841814,-1.1832159566199232,0.0
a,Null,248,-1.52127765851133,-1.1832159566199232,0.0
a,Null,249,-1.4367622330384782,-1.1832159566199232,0.0
a,Null,250,-1.3522468075656264,-1.1832159566199232,0.0
a,Null,251,-1.267731382092775,-1.1832159566199232,0.0
a,Null,252,-1.1832159566199232,-1.1832159566199232,0.0
a,Null,253,-1.0987005311470714,-1.1832159566199232,0.0
a,Null,254,-1.01418510567422,-1.1832159566199232,0.0
a,Null,255,-0.9296696802013682,-1.1832159566199232,0.0
a,Null,256,-0.8451542547285166,-1.1832159566199232,0.0
a,Null,257,-0.760638829255665,-1.1832159566199232,0.0
a,Null,258,-0.6761234037828132,-1.1832159566199232,0.0
a,Null,259,-0.5916079783099616,-1.1832159566199232,0.0
a,Null,260,-0.50709255283711,-1.1832159566199232,0.0
a,Null,261,-0.4225771273642583,-1.1832159566199232,0.0
a,Null,262,-0.3380617018914066,-1.1832159566199232,0.0
a,Null,263,-0.253546276418555,-1.1832159566199232,0.0
a,Null,264,-0.1690308509457033,-1.1832159566199232,0.0
a,Null,265,-0.08451542547285165,-1.1832159566199232,0.0
a,Null,266,0.0,-1.1832159566199232,0.0
a,Null,267,0.08451542547285165,-1.1832159566199232,0.0
a,Null,268,0.1690308509457033,-1.1832159566199232,0.0
a,Null,269,0.253546276418555,-1.1832159566199232,0.0
a,Null,270,0.3380617018914066,-1.1832159566199232,0.0
a,Null,271,0.4225771273642583,-1.1832159566199232,0.0
a,Null,272,0.50709255283711,-1.1832159566199232,0.0
a,Null,273,0.5916079783099616,-1.1832159566199232,0.0
a,Null,274,0.6761234037828132,-1.1832159566199232,0.0
a,Null,275,0.760638829255665,-1.1832159566199232,0.0
