panel,series,point,x,y
count,Mean,69,0.9500000000000002,4.315463792830479
count,Mean,70,1.0,4.4314915268485615
count,Mean,71,1.0500000000000003,4.550638840987729
count,Mean,72,1.1,4.672989609851014
count,Mean,73,1.1500000000000004,4.798629963136294
count,Mean,74,1.2000000000000002,4.9276483462679
count,Mean,75,1.25,5.060135582658409
count,Mean,76,1.3000000000000003,5.196184937644435
count,Mean,77,1.35,5.335892184141418
count,Mean,78,1.4000000000000004,5.47935567006367
count,Mean,79,1.4500000000000002,5.62667638755708
count,Mean,80,1.5,5.7779580440932605
count,Mean,81,1.5499999999999998,5.933307135475157
count,Mean,82,1.6000000000000005,6.092833020805545
count,Mean,83,1.6500000000000004,6.256647999471126
count,Mean,84,1.7000000000000002,6.424867390196511
count,Mean,85,1.75,6.597609612223643
count,Mean,86,1.7999999999999998,6.774996268673873
count,Mean,87,1.8500000000000005,6.95715223215135
count,Mean,88,1.9000000000000004,7.144205732647971
count,Mean,89,1.9500000000000002,7.336288447811815
count,Mean,90,2.0,7.533535595642556
count,Mean,91,2.05,7.7360860296791385
count,Mean,92,2.1000000000000005,7.944082336746723
count,Mean,93,2.1500000000000004,8.1576709373317
count,Mean,94,2.2,8.37700218865543
count,Mean,95,2.25,8.602230490519295
count,Mean,96,2.3000000000000007,8.833514393995543
count,Mean,97,2.3500000000000005,9.071016713040414
count,Mean,98,2.4000000000000004,9.314904639108242
count,Mean,99,2.45,9.56534985884704
count,Mean,100,2.5,9.822528674958544
ordinal,Low,0,-2.5,0.6893730300897533
ordinal,Low,1,-2.45,0.6819033001131686
ordinal,Low,2,-2.4,0.6743387995032202
ordinal,Low,3,-2.35,0.6666823412012484
ordinal,Low,4,-2.3,0.6589369186848244
ordinal,Low,5,-2.25,0.6511057034344618
ordinal,Low,6,-2.2,0.6431920417025332
ordinal,Low,7,-2.15,0.6351994505778579
ordinal,Low,8,-2.1,0.6271316133438641
ordinal,Low,9,-2.05,0.6189923741328488
ordinal,Low,10,-2.0,0.610785731883651
ordinal,Low,11,-1.95,0.6025158336149353
ordinal,Low,12,-1.9,0.5941869670312314
ordinal,Low,13,-1.85,0.5858035524838291
ordinal,Low,14,-1.7999999999999998,0.5773701343135341
ordinal,Low,15,-1.75,0.5688913716070985
ordinal,Low,16,-1.7,0.5603720284037825
ordinal,Low,17,-1.65,0.5518169633929497
ordinal,Low,18,-1.6,0.5432311191477627
ordinal,Low,19,-1.5499999999999998,0.534619510943906
ordinal,Low,20,-1.5,0.5259872152157546
ordinal,Low,21,-1.45,0.5173393577054817
ordinal,Low,22,-1.4,0.5086811013632425
ordinal,Low,23,-1.3499999999999999,0.5000176340587085
ordinal,Low,24,-1.2999999999999998,0.4913541561658735
ordinal,Low,25,-1.25,0.48269586808415055
ordinal,Low,26,-1.2,0.47404795775933944
ordinal,Low,27,-1.15,0.46541558826804535
ordinal,Low,28,-1.0999999999999999,0.4568038855285715
ordinal,Low,29,-1.0499999999999998,0.44821792620020917
ordinal,Low,30,-1.0,0.43966272583121546
ordinal,Low,31,-0.95,0.43114322731361615
ordinal,Low,32,-0.8999999999999999,0.4226642897003445
ordinal,Low,33,-0.8499999999999999,0.41423067743714614
ordinal,Low,34,-0.7999999999999998,0.40584705005819205
ordinal,Low,35,-0.75,0.3975179523904827
ordinal,Low,36,-0.7,0.38924780530796327
ordinal,Low,37,-0.6499999999999999,0.38104089707182476
ordinal,Low,38,-0.5999999999999999,0.3729013752888256
ordinal,Low,39,-0.5499999999999998,0.3648332395146563
ordinal,Low,40,-0.5,0.3568403345244693
ordinal,Low,41,-0.44999999999999973,0.3489263442677373
ordinal,Low,42,-0.3999999999999999,0.34109478651966213
ordinal,Low,43,-0.3500000000000001,0.3333490082364602
ordinal,Low,44,-0.2999999999999998,0.3256921816170775
ordinal,Low,45,-0.25,0.31812730086925056
ordinal,Low,46,-0.19999999999999973,0.3106571796733939
ordinal,Low,47,-0.1499999999999999,0.30328444933359555
ordinal,Low,48,-0.09999999999999964,0.2960115576010472
ordinal,Low,49,-0.04999999999999982,0.2888407681515966
ordinal,Low,50,0.0,0.2817741606957576
ordinal,Low,51,0.050000000000000266,0.2748136316965131
ordinal,Low,52,0.10000000000000009,0.2679608956675738
ordinal,Low,53,0.15000000000000036,0.26121748702244024
ordinal,Low,54,0.20000000000000018,0.2545847624426545
ordinal,Low,55,0.25,0.2480639037320107
ordinal,Low,56,0.30000000000000027,0.24165592112223339
ordinal,Low,57,0.3500000000000001,0.23536165699469774
ordinal,Low,58,0.40000000000000036,0.2291817899821648
ordinal,Low,59,0.4500000000000002,0.22311683941420626
ordinal,Low,60,0.5,0.21716717006998806
ordinal,Low,61,0.5500000000000003,0.2113329972023484
ordinal,Low,62,0.6000000000000001,0.2056143917976209
ordinal,Low,63,0.6500000000000004,0.20001128603639579
ordinal,Low,64,0.7000000000000002,0.19452347892135935
ordinal,Low,65,0.75,0.18915064203947765
ordinal,Low,66,0.8000000000000003,0.18389232542707562
ordinal,Low,67,0.8500000000000001,0.17874796350777658
ordinal,Low,68,0.9000000000000004,0.17371688107479685
ordinal,Low,69,0.9500000000000002,0.1687982992907032
ordinal,Low,70,1.0,0.1639913416794243
ordinal,Low,71,1.0500000000000003,0.15929504008703668
ordinal,Low,72,1.1,0.1547083405896041
ordinal,Low,73,1.1500000000000004,0.150230109328119
ordinal,Low,74,1.2000000000000002,0.14585913825236105
ordinal,Low,75,1.25,0.14159415075723458
ordinal,Low,76,1.3000000000000003,0.13743380719686343
ordinal,Low,77,1.35,0.1333767102633962
ordinal,Low,78,1.4000000000000004,0.12942141021909673
ordinal,Low,79,1.4500000000000002,0.12556640997185783
ordinal,Low,80,1.5,0.12181016998577109
ordinal,Low,81,1.5499999999999998,0.118151113019809
ordinal,Low,82,1.6000000000000005,0.11458762868902292
ordinal,Low,83,1.6500000000000004,0.11111807784392587
ordinal,Low,84,1.7000000000000002,0.10774079676491485
ordinal,Low,85,1.75,0.10445410116969059
ordinal,Low,86,1.7999999999999998,0.10125629003264897
ordinal,Low,87,1.8500000000000005,0.09814564921615658
ordinal,Low,88,1.9000000000000004,0.09512045491447789
ordinal,Low,89,1.9500000000000002,0.09217897691189395
ordinal,Low,90,2.0,0.08931948165725409
ordinal,Low,91,2.05,0.08654023515782178
ordinal,Low,92,2.1000000000000005,0.08383950569582921
ordinal,Low,93,2.1500000000000004,0.0812155663716376
ordinal,Low,94,2.2,0.07866669747781736
ordinal,Low,95,2.25,0.07619118870882223
ordinal,Low,96,2.3000000000000007,0.07378734121122826
ordinal,Low,97,2.3500000000000005,0.07145346947975602
ordinal,Low,98,2.4000000000000004,0.06918790310449108
ordinal,Low,99,2.45,0.06698898837486827
ordinal,Low,100,2.5,0.06485508974609254
ordinal,Middle,0,-2.5,0.24577748034414781
ordinal,Middle,1,-2.45,0.25111348275390355
ordinal,Middle,2,-2.4,0.25647924402845335
ordinal,Middle,3,-2.35,0.26187031573190334
ordinal,Middle,4,-2.3,0.2672820507226292
